2183 100000
0 7 1459
0 8 2160
0 9 277
0 10 388
0 11 1103
0 12 1291
0 13 577
0 14 1663
0 15 728
0 16 887
1 7 3256
1 8 3662
1 9 5526
1 10 808
1 11 412
1 12 1100
1 13 931
1 14 539
1 15 904
1 16 306
2 7 4194
2 8 6251
2 9 13977
2 10 5202
2 11 6504
2 12 574
2 13 179
2 14 2194
2 15 4308
2 16 3085
3 7 11395
3 8 39959
3 9 24683
3 10 6365
3 11 5231
3 12 2056
3 13 167
3 14 1038
3 15 1207
3 16 356
3 17 376
3 18 35
3 19 329
3 20 256
3 21 66
4 7 6646
4 8 33604
4 9 10232
4 10 6451
4 11 8379
4 12 5754
4 13 2665
4 14 1125
4 15 102
4 16 1504
4 17 162
4 18 215
4 19 1456
4 20 599
4 21 54
5 7 4037
5 8 27546
5 9 5856
5 10 6160
5 11 1099
5 12 8999
5 13 7264
5 14 4166
5 15 1245
5 16 159
5 17 4026
5 18 362
5 19 227
5 20 1418
5 21 314
6 7 5653
6 8 9959
6 9 4085
6 10 5088
6 11 5023
6 12 2467
6 13 3560
6 14 3413
6 15 2349
6 16 150
6 17 430
6 18 1478
6 19 413
6 20 1334
6 21 982
7 7 78
7 8 38
7 9 31
7 10 20
7 11 996
7 12 562
7 14 5411
7 15 3687
7 16 2274
7 17 1116
7 18 360
7 19 1961
7 20 1660
7 21 3570
7 22 1076
7 23 2139
7 24 15553
7 25 1370
7 26 229
8 11 188
8 12 3531
8 14 5758
8 15 4424
8 16 2427
8 17 1901
8 18 1589
8 19 910
8 20 1458
8 21 375
8 22 1349
8 23 371
8 24 497
8 25 1150
8 26 232
9 11 111
9 12 16410
9 13 634
9 14 72
9 15 10642
9 16 3279
9 17 4254
9 18 2487
9 19 1936
9 20 1966
9 21 436
9 22 3557
9 23 1043
9 24 1599
9 25 287
9 26 506
10 11 19
10 12 8406
10 13 898
10 15 11654
10 16 17930
10 17 4521
10 18 3187
10 19 3493
10 20 4291
10 21 2774
10 22 1834
10 23 833
10 24 2965
10 25 713
10 26 1580
10 27 764
10 28 462
10 29 874
10 30 86
10 31 110
11 12 5642
11 13 2434
11 15 33224
11 16 16130
11 17 6025
11 18 4829
11 19 1946
11 20 2370
11 21 13590
11 22 2995
11 23 480
11 24 4815
11 25 1017
11 26 860
11 27 6033
11 28 1766
11 29 702
11 30 675
11 31 227
12 12 3097
12 13 1067
12 14 27
12 15 12623
12 16 6937
12 17 2319
12 18 2749
12 19 2724
12 20 2695
12 21 3219
12 22 2983
12 23 453
12 24 790
12 25 1192
12 26 1062
12 27 3463
12 28 869
12 29 732
12 30 1021
12 31 117
13 8 2
13 9 9
13 10 555
13 11 18
13 12 559
13 13 128
13 14 2479
13 15 4116
13 16 4015
13 17 3814
13 18 2468
13 19 2569
13 20 1627
13 21 3467
13 22 331
13 23 2298
13 24 1617
13 25 1169
13 26 1711
13 27 6188
13 28 792
13 29 2165
13 30 1527
13 31 504
14 2 13
14 3 22
14 4 52
14 5 278
14 6 20
14 7 291
14 8 363
14 9 1741
14 10 2301
14 11 220
14 12 1326
14 14 8884
14 15 2742
14 16 4010
14 17 3197
14 18 4978
14 19 5070
14 20 2471
14 21 2412
14 22 4005
14 23 163
14 24 3162
14 25 4916
14 26 907
14 27 1281
14 28 17139
14 29 792
14 30 1147
14 31 5315
14 32 1106
14 33 1857
14 34 2689
14 35 1942
14 36 14390
14 37 38955
14 38 6930
15 2 3518
15 3 656
15 4 199
15 5 6
15 6 4
15 7 834
15 8 3107
15 9 2050
15 10 875
15 11 3837
15 12 2586
15 13 5052
15 14 13432
15 15 5583
15 16 2586
15 17 2541
15 18 3096
15 19 4406
15 20 3651
15 21 2965
15 22 4706
15 23 2126
15 24 44
15 25 9242
15 26 5987
15 27 3864
15 28 1403
15 29 1392
15 30 1243
15 31 2591
15 32 1705
15 33 1069
15 34 1999
15 35 2564
15 36 11588
15 37 9305
15 38 3300
16 3 965
16 4 761
16 5 889
16 6 25
16 7 38
16 8 465
16 9 10764
16 10 6534
16 11 6567
16 12 4672
16 13 3213
16 14 1085
16 15 1099
16 16 1104
16 17 1704
16 18 3218
16 19 4562
16 20 2765
16 21 2760
16 22 9044
16 23 3111
16 24 1480
16 25 32
16 26 11348
16 27 3485
16 28 917
16 29 1952
16 30 1114
16 31 1973
16 32 969
16 33 978
16 34 1241
16 35 2547
16 36 1420
16 37 7042
16 38 2362
17 0 72
17 1 4
17 2 2
17 3 1
17 4 30
17 5 722
17 6 1896
17 7 2928
17 8 4243
17 9 5439
17 10 3938
17 11 2802
17 12 311
17 13 142
17 14 643
17 15 576
17 16 449
17 17 4682
17 18 1258
17 19 2557
17 20 3752
17 21 2868
17 22 2502
17 23 5705
17 24 3066
17 25 1453
17 26 5522
17 27 3507
17 28 672
17 29 3852
17 30 1212
17 31 2496
17 32 1735
17 33 596
17 34 996
17 35 1364
17 36 2003
17 37 8458
17 38 2167
18 0 13
18 1 39
18 2 342
18 3 161
18 4 239
18 5 995
18 6 9876
18 7 899
18 8 59
18 9 451
18 10 4460
18 11 837
18 12 1708
18 13 642
18 14 1414
18 15 1500
18 16 2456
18 17 11004
18 18 5920
18 19 2834
18 20 4259
18 21 4837
18 22 4245
18 23 3299
18 24 2080
18 25 2609
18 26 4135
18 27 5257
18 28 1882
18 29 234
18 30 2524
18 31 3038
18 32 1426
18 33 766
18 34 885
18 35 7120
18 36 2450
18 37 2062
18 38 578
19 0 479
19 1 79
19 2 7
19 3 521
19 4 2028
19 5 1339
19 6 2487
19 7 4702
19 8 1025
19 9 31
19 10 116
19 11 2200
19 12 542
19 13 629
19 14 3295
19 15 252
19 16 222
19 17 2567
19 18 1212
19 19 2580
19 20 4207
19 21 17586
19 22 10181
19 23 4800
19 24 7256
19 25 2309
19 26 3688
19 27 1493
19 28 2656
19 29 563
19 30 2561
19 31 1788
19 32 1820
19 33 1083
19 34 1474
19 35 5532
19 36 2075
19 37 2869
19 38 467
20 0 930
20 1 89
20 2 275
20 3 671
20 4 214
20 5 2929
20 6 4336
20 7 4848
20 8 4112
20 9 33
20 10 205
20 11 101
20 12 249
20 13 225
20 14 1928
20 15 602
20 16 166
20 17 711
20 18 623
20 19 216
20 20 3739
20 21 4145
20 22 6121
20 23 4576
20 24 4776
20 25 6520
20 26 3549
20 27 3965
20 28 3769
20 29 4764
20 30 1342
20 31 5774
20 32 944
20 33 2459
20 34 1313
20 35 2162
20 36 1676
20 37 1318
20 38 2379
21 0 737
21 1 212
21 2 10
21 4 172
21 5 1060
21 6 96
21 7 1759
21 8 8321
21 9 4689
21 10 181
21 11 64
21 12 954
21 13 1226
21 14 5828
21 15 2363
21 16 343
21 17 919
21 18 516
21 19 797
21 20 4105
21 21 2895
21 22 3428
21 23 5423
21 24 3572
21 25 2915
21 26 3002
21 27 8636
21 28 10864
21 29 27952
21 30 2377
21 31 3796
21 32 562
21 33 4165
